random_id,credit_window,credit_window_label,first_term_label,me_bs_degree_status,me_bs_degree_status_clean,me_bs_degree_status_is_missing,me_degree_status_bucket,has_me_bs_degree,has_any_bachelor_degree,outcome_graduated_me,outcome_any_bachelor,outcome_status_known,cgpa_at_etm_to_any_campus,highest_cgpa_during_credit_window,peak_minus_etm,graduating_cgpa,cgpa_gap,dif_btw_max_and_min_term_gpa,warnings_per_term,low_gpa_term_rate_2_5,low_gpa_term_rate_3_0,grade_forgiveness_used,multi_repeat_flag,with_math_ap,sat_verb_grouping,1st_aleks_math_score_grouping,1st_math_course,1st_math_course_campus,etm_total_attempts_to_abc,etm_first_attempt_pass_count,etm_never_passed_count,etm_first_grade_dfw_count,terms_with_gpa,mean_term_gpa,median_term_gpa,std_term_gpa,min_term_gpa,max_term_gpa,first_term_gpa,last_term_gpa,n_summer_terms,n_regular_terms,low_gpa_terms_2_5,low_gpa_terms_3_0,gpa_trend_slope,first_two_regular_mean_gpa,summer_term_ratio,chem_110_outcome_after_1st_fa,edsgn_100_outcome_after_1st_fa,math_140_outcome_after_1st_fa,math_141_outcome_after_1st_fa,phys_211_outcome_after_1st_fa,chem_110_outcome_after_1st_ay,edsgn_100_outcome_after_1st_ay,math_140_outcome_after_1st_ay,math_141_outcome_after_1st_ay,phys_211_outcome_after_1st_ay,chem_110_outcome_after_2nd_ay,edsgn_100_outcome_after_2nd_ay,math_140_outcome_after_2nd_ay,math_141_outcome_after_2nd_ay,phys_211_outcome_after_2nd_ay,chem_110_outcome,edsgn_100_outcome,math_140_outcome,math_141_outcome,phys_211_outcome,chem_110__grade_code__1st_fa_or_sp,edsgn_100__grade_code__1st_fa_or_sp,math_140__grade_code__1st_fa_or_sp,math_141__grade_code__1st_fa_or_sp,phys_211__grade_code__1st_fa_or_sp,chem_110_attempts_to_abc,chem_110_pass_by_first_attempt,chem_110_ever_passed,chem_110_first_grade_dfw,chem_110_total_attempts,chem_110_outcome_label,edsgn_100_attempts_to_abc,edsgn_100_pass_by_first_attempt,edsgn_100_ever_passed,edsgn_100_first_grade_dfw,edsgn_100_total_attempts,edsgn_100_outcome_label,math_140_attempts_to_abc,math_140_pass_by_first_attempt,math_140_ever_passed,math_140_first_grade_dfw,math_140_total_attempts,math_140_outcome_label,math_141_attempts_to_abc,math_141_pass_by_first_attempt,math_141_ever_passed,math_141_first_grade_dfw,math_141_total_attempts,math_141_outcome_label,phys_211_attempts_to_abc,phys_211_pass_by_first_attempt,phys_211_ever_passed,phys_211_first_grade_dfw,phys_211_total_attempts,phys_211_outcome_label
S-00988,29-55,29-55,Fall 2018,,,1,missing_or_blank,0,0,0,0,0,3.84,3.91,0.0700000000000002,,,0.2799999999999998,0.0,0.0,0.0,0,0,No,590-640,N/A (101),MATH 140,LV,5.0,5,0,0,8,3.34,3.375,0.3249615361854384,2.79,3.71,3.42,3.1,0,8,0,1,-0.0330434782608695,3.26,0.0,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,A-,A,A,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00987,29-55,29-55,Fall 2020,,,1,missing_or_blank,0,0,0,0,0,3.09,3.09,0.0,,,2.33,0.0,0.1818181818181818,0.3636363636363636,1,1,No,640-690,N/A (101),MATH 140,UP,7.0,1,1,0,10,3.67,3.805,0.3630426972134269,2.9,4.0,3.88,3.93,2,8,0,1,-0.0059940059940059,3.88,0.2,Only 1 Attempt=DFW,Never Enrolled,Only 1 Attempt=DFW,Never Enrolled,Only 1 Attempt=DFW,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,Only 1 Attempt=DFW,"2 Attempts (1st=DFW, 2nd=ABC)",Never Enrolled,"2 Attempts (1st=DFW, 2nd=ABC)",1st Attempt=ABC,"2 Attempts (1st=DFW, 2nd=ABC)",Pass on 2nd attempt,Never enrolled,Pass on 2nd attempt,Pass on 1st attempt,Pass on 2nd attempt,LD,Not Enrolled,D,Not Enrolled,LD,2.0,0,1,0,2,Pass on 2nd attempt,,0,0,0,0,Never enrolled,2.0,0,1,0,2,Pass on 2nd attempt,1.0,1,1,0,1,Pass on 1st attempt,2.0,0,1,0,2,Pass on 2nd attempt
S-00986,40-59,40-59,Fall 2021,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.49,3.49,0.0,3.41,-0.08,1.17,0.0,0.0,0.1111111111111111,0,0,Yes,<590,76-82,MATH 140,HB,5.0,5,0,0,11,2.9736363636363636,3.05,0.6505578026166888,1.67,4.0,2.57,3.33,3,8,2,4,0.0398181818181818,2.785,0.2727272727272727,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,A,B,A,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00985,40-59,40-59,Fall 2020,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.64,3.64,0.0,3.82,0.1799999999999997,0.56,0.0,0.0,0.0,0,0,Yes,≥690,90-100,MATH 251,UP,2.0,2,3,0,12,3.0608333333333335,3.135,0.6629062505133717,1.43,4.0,3.33,3.27,3,9,2,4,0.0196558704453441,3.165,0.25,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,Pass on 1st attempt,Pass on 1st attempt,Never enrolled,Never enrolled,Never enrolled,B,A,Not Enrolled,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,,0,0,0,0,Never enrolled,,0,0,0,0,Never enrolled
S-00984,29-55,29-55,Fall 2021,,,1,missing_or_blank,0,0,0,0,0,3.2,3.2,0.0,,,3.0,0.0,0.3076923076923077,0.6153846153846154,1,0,No,<590,30-45,MATH 26,HB,8.0,3,0,0,10,3.495,3.595,0.364546902941781,2.93,4.0,3.52,3.73,2,8,0,1,0.0779720279720279,3.225,0.2,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,"2 Attempts (1st=DFW, 2nd=ABC)",1st Attempt=ABC,1st Attempt=ABC,2 Attempts (Both=DFW),1st Attempt=ABC,Pass on 2nd attempt,Pass on 1st attempt,Pass on 1st attempt,No pass after 2 attempts,Pass on 1st attempt,Not Enrolled,Not Enrolled,Not Enrolled,Not Enrolled,Not Enrolled,2.0,0,1,0,2,Pass on 2nd attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,3.0,0,1,0,3,Pass on 3rd attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00983,40-59,40-59,Fall 2020,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.98,3.98,0.0,3.99,0.0100000000000002,0.06,0.0,0.0,0.0,0,0,Yes,640-690,76-82,MATH 251,UP,1.0,1,4,0,13,2.5969230769230767,2.62,0.860023106427812,1.0,4.0,4.0,2.62,3,10,4,8,-0.1011518324607329,3.645,0.2307692307692307,Never Enrolled,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,Never Enrolled,Never Enrolled,Never Enrolled,Never enrolled,Pass on 1st attempt,Never enrolled,Never enrolled,Never enrolled,Not Enrolled,A,Not Enrolled,Not Enrolled,Not Enrolled,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,,0,0,0,0,Never enrolled,,0,0,0,0,Never enrolled
S-00982,29-55,29-55,Fall 2021,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.4,3.4,0.0,3.44,0.04,0.4500000000000002,0.0,0.0,0.0,0,0,No,590-640,61-75,MATH 140,UP,5.0,5,0,0,8,3.97375,4.0,0.0486789775687909,3.89,4.0,3.9,4.0,0,8,0,0,0.0006521739130434,3.95,0.0,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,Pass on 1st attempt,B-,A,B-,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00981,40-59,40-59,Fall 2017,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.33,3.33,0.0,3.49,0.1600000000000001,1.3400000000000003,0.0,0.0,0.2222222222222222,1,0,No,<590,83-89,MATH 140,AB,6.0,2,1,0,11,3.5290909090909093,3.59,0.2693865084021301,2.92,3.86,3.26,3.59,2,9,0,1,0.0088694758478931,3.49,0.1818181818181818,Never Enrolled,Never Enrolled,Only 1 Attempt=DFW,Never Enrolled,Never Enrolled,Never Enrolled,Never Enrolled,"2 Attempts (1st=DFW, 2nd=ABC)",Only 1 Attempt=DFW,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,"2 Attempts (1st=DFW, 2nd=ABC)","2 Attempts (1st=DFW, 2nd=ABC)",1st Attempt=ABC,Pass on 1st attempt,Never enrolled,Pass on 2nd attempt,Pass on 2nd attempt,Pass on 1st attempt,Not Enrolled,Not Enrolled,D,Not Enrolled,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,2.0,0,1,0,2,Pass on 2nd attempt,2.0,0,1,0,2,Pass on 2nd attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00980,40-59,40-59,Fall 2016,ME_BS Degree Only,ME_BS DEGREE ONLY,0,me_bs_only,1,1,1,1,1,3.74,3.74,0.0,3.63,-0.1100000000000003,1.0,0.0,0.0,0.0,0,0,Yes,590-640,83-89,MATH 141,AB,3.0,3,2,0,10,3.554,3.76,0.4797962530537774,2.57,4.0,2.89,3.87,2,8,0,2,0.0055694342395297,3.375,0.2,Never Enrolled,Never Enrolled,Never Enrolled,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Never enrolled,Pass on 1st attempt,Never enrolled,Pass on 1st attempt,Pass on 1st attempt,Not Enrolled,Not Enrolled,Not Enrolled,B+,Not Enrolled,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
S-00979,40-59,40-59,Fall 2017,ME_BS with Another Bach. Degree,ME_BS WITH ANOTHER BACH. DEGREE,0,me_bs_plus_other_bach,1,1,1,1,1,3.65,3.65,0.0,3.66,0.0100000000000002,1.0,0.0,0.0,0.0,0,0,Yes,,61-75,MATH 141,UP,4.0,4,1,0,8,3.6275,3.685,0.320345795307865,3.0,4.0,3.43,3.92,0,8,0,0,-0.000846394984326,3.715,0.0,1st Attempt=ABC,Never Enrolled,Never Enrolled,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,1st Attempt=ABC,Never Enrolled,1st Attempt=ABC,1st Attempt=ABC,Pass on 1st attempt,Pass on 1st attempt,Never enrolled,Pass on 1st attempt,Pass on 1st attempt,B,Not Enrolled,Not Enrolled,C+,Not Enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt,,0,0,0,0,Never enrolled,1.0,1,1,0,1,Pass on 1st attempt,1.0,1,1,0,1,Pass on 1st attempt
