credit_window_label,n,rate_graduated_me,rate_any_bachelor,rate_status_known
40-59,821,0.9342265529841657,0.9671132764920828,0.9671132764920828
29-55,415,0.3710843373493976,0.39036144578313253,0.39036144578313253
