feature,level,n,rate_y1,overall_rate_y1,lift_vs_overall,cramers_v,chi2,p_value,n_levels_used
1st_aleks_math_score_grouping,83-89,308,0.9577922077922078,0.9633891213389121,0.9941903915845284,0.055375400252171775,,,8
1st_aleks_math_score_grouping,90-100,269,0.9628252788104089,0.9633891213389121,0.9994147302309999,0.055375400252171775,,,8
1st_aleks_math_score_grouping,76-82,214,0.9719626168224299,0.9633891213389121,1.0088993069296883,0.055375400252171775,,,8
1st_aleks_math_score_grouping,61-75,110,0.9727272727272728,0.9633891213389121,1.009693021419406,0.055375400252171775,,,8
1st_aleks_math_score_grouping,46-60,42,0.9285714285714286,0.9633891213389121,0.9638591592988988,0.055375400252171775,,,8
1st_aleks_math_score_grouping,missing,6,1.0,0.9633891213389121,1.0380021715526602,0.055375400252171775,,,8
1st_aleks_math_score_grouping,30-45,5,1.0,0.9633891213389121,1.0380021715526602,0.055375400252171775,,,8
1st_aleks_math_score_grouping,N/A (101),2,1.0,0.9633891213389121,1.0380021715526602,0.055375400252171775,,,8
1st_math_course,MATH 140,454,0.973568281938326,0.9633891213389121,1.010565990806775,0.10604520156236068,,,9
1st_math_course,MATH 141,165,0.9333333333333333,0.9633891213389121,0.9688020267824828,0.10604520156236068,,,9
1st_math_course,MATH 140E,89,0.9550561797752809,0.9633891213389121,0.9913503885615295,0.10604520156236068,,,9
1st_math_course,other,81,0.9506172839506173,0.9633891213389121,0.9867428050562326,0.10604520156236068,,,9
1st_math_course,MATH 251,73,0.9863013698630136,0.9633891213389121,1.0237829637231717,0.10604520156236068,,,9
1st_math_course,MATH 10,35,0.9714285714285714,0.9633891213389121,1.0083449666511557,0.10604520156236068,,,9
1st_math_course,MATH 41,24,1.0,0.9633891213389121,1.0380021715526602,0.10604520156236068,,,9
1st_math_course,MATH 220,21,0.9047619047619048,0.9633891213389121,0.9391448218809783,0.10604520156236068,,,9
1st_math_course,MATH 26,14,1.0,0.9633891213389121,1.0380021715526602,0.10604520156236068,,,9
1st_math_course_campus,UP,677,0.9778434268833087,0.9633891213389121,1.0150036005433694,0.13978448554799305,,,9
1st_math_course_campus,other,84,0.9285714285714286,0.9633891213389121,0.9638591592988988,0.13978448554799305,,,9
1st_math_course_campus,HB,52,0.9230769230769231,0.9633891213389121,0.9581558506639941,0.13978448554799305,,,9
1st_math_course_campus,AB,31,0.9354838709677419,0.9633891213389121,0.9710342895170047,0.13978448554799305,,,9
1st_math_course_campus,ER,27,0.9259259259259259,0.9633891213389121,0.9611131218080187,0.13978448554799305,,,9
1st_math_course_campus,AL,26,0.9615384615384616,0.9633891213389121,0.9980790111083272,0.13978448554799305,,,9
1st_math_course_campus,LV,23,0.9565217391304348,0.9633891213389121,0.9928716423547185,0.13978448554799305,,,9
1st_math_course_campus,BK,20,0.85,0.9633891213389121,0.8823018458197611,0.13978448554799305,,,9
1st_math_course_campus,BW,16,0.9375,0.9633891213389121,0.973127035830619,0.13978448554799305,,,9
chem_110__grade_code__1st_fa_or_sp,A,251,0.9721115537848606,0.9633891213389121,1.0090539038201158,0.1294059851419833,,,9
